ID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
,1,2017-04-29 13:28:42,2017-04-29 13:28:52,1,0,6,N,132,132,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-04-09 21:55:53,2017-04-09 21:56:03,1,0,6,N,132,132,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-04-19 12:11:10,2017-04-19 12:11:13,1,0,6,N,45,45,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-04-07 06:08:13,2017-04-07 06:09:34,1,0.2,6,N,42,42,1,2.5,0,0.5,0,0,0.3,3.3
,1,2017-04-07 20:56:10,2017-04-07 20:56:10,1,0,6,N,246,264,2,6445.9,0,0.5,0,0,0.3,6446.7
,1,2017-11-18 15:42:31,2017-11-18 15:43:04,1,14.2,6,N,1,1,2,4.5,0,0.5,0,0,0.3,5.3
,1,2017-11-06 04:39:23,2017-11-06 04:42:13,2,0.5,6,N,140,262,2,2.5,0,0.5,0,0,0.3,3.3
,2,2017-09-14 12:00:55,2017-09-14 12:01:43,1,0,6,N,207,207,2,0,0,0,0,0,0,0
,2,2017-09-13 13:16:04,2017-09-13 13:16:52,4,0,6,N,193,193,2,0,0,0,0,0,0,0
,1,2017-09-15 16:40:21,2017-09-15 16:40:58,1,0,6,N,233,233,1,5.5,0,0.5,1.25,0,0.3,7.55
,1,2017-09-05 13:11:46,2017-09-05 13:11:49,1,0,6,N,138,138,2,3.5,0,0.5,0,0,0.3,4.3
,1,2017-09-25 21:19:38,2017-09-25 21:32:16,3,2.7,6,N,231,186,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-25 07:45:00,2017-09-25 07:45:03,1,0,6,N,231,231,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-01 06:34:12,2017-09-01 06:42:59,1,2.1,6,N,238,48,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-27 02:08:42,2017-06-27 02:08:56,1,0,6,N,100,100,2,5.5,0,0.5,0,0,0.3,6.3
,1,2017-06-10 09:33:10,2017-06-10 09:33:13,1,0,6,N,138,138,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-06-30 12:40:08,2017-06-30 12:41:05,1,0.1,6,N,186,186,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-08-19 12:29:40,2017-08-19 12:29:46,1,0,6,N,141,141,2,2.5,0,0.5,0,0,0.3,3.3
,1,2017-09-11 08:12:48,2017-09-11 08:12:52,1,0,6,N,151,151,2,3.5,0,0.5,0,0,0.3,4.3
